METADATA|Worker|SourceSystemOwner|SourceSystemId|EffectiveStartDate|EffectiveEndDate|PersonNumber|StartDate|DateOfBirth|ActionCode
MERGE|Worker|ALTAHRN01|5500018|1977/01/01|4712/12/31|5500018|1977/01/01|1967/04/30|HIRE
MERGE|Worker|ALTAHRN01|5500165|2014/10/01|4712/12/31|5500165|2014/10/01|1971/04/26|HIRE
MERGE|Worker|ALTAHRN01|5500178|1994/09/01|4712/12/31|5500178|1994/09/01|1956/02/01|HIRE
MERGE|Worker|ALTAHRN01|5500188|2001/11/05|4712/12/31|5500188|2001/11/05|1963/05/31|HIRE
MERGE|Worker|ALTAHRN01|5500215|1992/07/20|4712/12/31|5500215|1992/07/20|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|5500255|2016/03/21|4712/12/31|5500255|2016/03/21|1962/04/06|HIRE
MERGE|Worker|ALTAHRN01|5500301|1998/09/01|4712/12/31|5500301|1998/09/01|1951/09/20|HIRE
MERGE|Worker|ALTAHRN01|5500316|1997/04/07|4712/12/31|5500316|1997/04/07|1954/05/19|HIRE
MERGE|Worker|ALTAHRN01|5500341|2013/09/01|4712/12/31|5500341|2013/09/01|1971/03/15|HIRE
MERGE|Worker|ALTAHRN01|5500362|1983/10/01|4712/12/31|5500362|1983/10/01|1962/01/07|HIRE
MERGE|Worker|ALTAHRN01|5500375|2005/03/14|4712/12/31|5500375|2005/03/14|1970/02/19|HIRE
MERGE|Worker|ALTAHRN01|5500390|1999/12/31|4712/12/31|5500390|1999/12/31|1957/01/22|HIRE
MERGE|Worker|ALTAHRN01|5500400|1979/06/25|4712/12/31|5500400|1979/06/25|1953/10/14|HIRE
MERGE|Worker|ALTAHRN01|5500415|1995/09/01|4712/12/31|5500415|1995/09/01|1957/01/11|HIRE
MERGE|Worker|ALTAHRN01|5500417|2006/12/01|4712/12/31|5500417|2006/12/01|1952/02/16|HIRE
MERGE|Worker|ALTAHRN01|5500436|2010/11/01|4712/12/31|5500436|2010/11/01|1952/04/15|HIRE
MERGE|Worker|ALTAHRN01|5500537|1981/08/01|4712/12/31|5500537|1981/08/01|1971/03/20|HIRE
MERGE|Worker|ALTAHRN01|5500574|2015/04/01|4712/12/31|5500574|2015/04/01|1970/08/22|HIRE
MERGE|Worker|ALTAHRN01|5500583|1992/09/01|4712/12/31|5500583|1992/09/01|1965/02/01|HIRE
MERGE|Worker|ALTAHRN01|5500589|1991/04/01|4712/12/31|5500589|1991/04/01|1969/01/13|HIRE
MERGE|Worker|ALTAHRN01|5500590|2007/04/02|4712/12/31|5500590|2007/04/02||HIRE
MERGE|Worker|ALTAHRN01|5500619|1979/01/01|4712/12/31|5500619|1979/01/01|1951/01/15|HIRE
MERGE|Worker|ALTAHRN01|5500624|1986/08/11|4712/12/31|5500624|1986/08/11|1957/12/18|HIRE
MERGE|Worker|ALTAHRN01|5500627|1980/10/01|4712/12/31|5500627|1980/10/01|1961/05/02|HIRE
MERGE|Worker|ALTAHRN01|5500628|1985/03/11|4712/12/31|5500628|1985/03/11|1956/08/04|HIRE
MERGE|Worker|ALTAHRN01|5500631|1986/12/01|4712/12/31|5500631|1986/12/01|1956/02/01|HIRE
MERGE|Worker|ALTAHRN01|5500634|1986/01/01|4712/12/31|5500634|1986/01/01|1951/07/11|HIRE
MERGE|Worker|ALTAHRN01|5500646|2014/01/02|4712/12/31|5500646|2014/01/02|1958/11/22|HIRE
MERGE|Worker|ALTAHRN01|5502919|2004/07/12|4712/12/31|5502919|2004/07/12|1972/07/08|HIRE
MERGE|Worker|ALTAHRN01|5502921|1978/10/01|4712/12/31|5502921|1978/10/01|1955/10/24|HIRE
MERGE|Worker|ALTAHRN01|5502951|1985/06/24|4712/12/31|5502951|1985/06/24|1957/07/20|HIRE
MERGE|Worker|ALTAHRN01|5502967|1991/01/01|4712/12/31|5502967|1991/01/01|1953/05/24|HIRE
