COMMENT  ####
COMMENT  #  GRADE - MINIMAL SUBSET  (FOR HR)
COMMENT  ####
METADATA|Grade|SourceSystemOwner|SourceSystemId|EffectiveStartDate|EffectiveEndDate|SetId|GradeName|GradeCode|ActiveStatus
MERGE|Grade|ALTAHRN01|10-OPSDIR|1951/01/01|4712/12/31|300000001493021|10 College Director of Operations|10CDO|A|
MERGE|Grade|ALTAHRN01|10-FUNCHEAD|1951/01/01|4712/12/31|300000001493021|10 Function Head|10 Function Head|A|
MERGE|Grade|ALTAHRN01|10-PVC|1951/01/01|4712/12/31|300000001493021|10 PVC and Head of College|10PVCHC|A|
MERGE|Grade|ALTAHRN01|10-REGSEC|1951/01/01|4712/12/31|300000001493021|10 Registrar and Secretary|10RS|A|
MERGE|Grade|ALTAHRN01|10-SENFUNC|1951/01/01|4712/12/31|300000001493021|10 Senior Function Head|10SFH|A|
MERGE|Grade|ALTAHRN01|10-SENOFF|1951/01/01|4712/12/31|300000001493021|10 Senior Officer|10SO|A|
MERGE|Grade|ALTAHRN01|10-VC|1951/01/01|4712/12/31|300000001493021|10 VC|10VC|A|
MERGE|Grade|ALTAHRN01|10-VP-PROVOST|1951/01/01|4712/12/31|300000001493021|10 VP and Provost|10VPP|A|
MERGE|Grade|ALTAHRN01|ABAND200|1951/01/01|4712/12/31|300000001493021|Apprentice Band 200|A200|A|
MERGE|Grade|ALTAHRN01|ABAND300|1951/01/01|4712/12/31|300000001493021|Apprentice Band 300|A300|A|
MERGE|Grade|ALTAHRN01|ABAND400|1951/01/01|4712/12/31|300000001493021|Apprentice Band 400|A400|A|
MERGE|Grade|ALTAHRN01|ABAND500|1951/01/01|4712/12/31|300000001493021|Apprentice Band 500|A500|A|
MERGE|Grade|ALTAHRN01|BAND200|1951/01/01|4712/12/31|300000001493021|Band 100|100|A|
MERGE|Grade|ALTAHRN01|BAND200|1951/01/01|4712/12/31|300000001493021|Band 200|200|A|
MERGE|Grade|ALTAHRN01|BAND300|1951/01/01|4712/12/31|300000001493021|Band 300|300|A|
MERGE|Grade|ALTAHRN01|BAND400|1951/01/01|4712/12/31|300000001493021|Band 400|400|A|
MERGE|Grade|ALTAHRN01|BAND500|1951/01/01|4712/12/31|300000001493021|Band 500|100|A|
MERGE|Grade|ALTAHRN01|CCON|1951/01/01|4712/12/31|300000001493021|Clinical academic consultants|CCON|A|
MERGE|Grade|ALTAHRN01|CCONPROF1|1951/01/01|4712/12/31|300000001493021|Clinical academic consultants Professor Band 1|CCONPROF1|A|
MERGE|Grade|ALTAHRN01|CCONPROF2|1951/01/01|4712/12/31|300000001493021|Clinical academic consultants Professor Band 2|CCONPROF2|A|
MERGE|Grade|ALTAHRN01|CCONPROF3|1951/01/01|4712/12/31|300000001493021|Clinical academic consultants Professor Band 3|CCONPROF3|A|
MERGE|Grade|ALTAHRN01|CCONPROFD|1951/01/01|4712/12/31|300000001493021|Clinical academic consultants Professor Distinguished|CCONPROFD|A|
MERGE|Grade|ALTAHRN01|CCONPROFN|1951/01/01|4712/12/31|300000001493021|Clinical academic consultants Professor Not to be Banded|CCONPROFN|A|
MERGE|Grade|ALTAHRN01|CCONPROFU|1951/01/01|4712/12/31|300000001493021|Clinical academic consultants Professor Unclassified|CCONPROFU|A|
MERGE|Grade|ALTAHRN01|CSBCON|1951/01/01|4712/12/31|300000001493021|Clinical senior teaching and research academics below the level of consultant|CSBCON|A|
MERGE|Grade|ALTAHRN01|CSBCONPROF1|1951/01/01|4712/12/31|300000001493021|Clinical senior teaching and research academics below the level of consultant Professor Band 1|CSBCONPROF1|A|
MERGE|Grade|ALTAHRN01|CSBCONPROFD|1951/01/01|4712/12/31|300000001493021|Clinical senior teaching and research academics below the level of consultant Professor Distinguished|CSBCONPROFD|A|
MERGE|Grade|ALTAHRN01|CSBCONPROF2|1951/01/01|4712/12/31|300000001493021|Clinical senior teaching and research academics below the level of consultant Professor Band 2|CSBCONPROF2|A|
MERGE|Grade|ALTAHRN01|CSBCONPROF3|1951/01/01|4712/12/31|300000001493021|Clinical senior teaching and research academics below the level of consultant Professor Band 3|CSBCONPROF3|A|
MERGE|Grade|ALTAHRN01|CSBCONPROFU|1951/01/01|4712/12/31|300000001493021|Clinical senior teaching and research academics below the level of consultant Professor Unbanded|CSBCONPROFU|A|
MERGE|Grade|ALTAHRN01|CSBCONPROFN|1951/01/01|4712/12/31|300000001493021|Clinical senior teaching and research academics below the level of consultant Professor Not to be Banded|CSBCONPROFN|A|
MERGE|Grade|ALTAHRN01|1951/01/01|4712/12/31|300000001493021|Clinical teaching and research academics below the level of consultant|A|
MERGE|Grade|ALTAHRN01|GRADE6|1951/01/01|4712/12/31|300000001493021|Grade 6|6|A|
MERGE|Grade|ALTAHRN01|GRADE7|1951/01/01|4712/12/31|300000001493021|Grade 7|7|A|
MERGE|Grade|ALTAHRN01|GRADE8|1951/01/01|4712/12/31|300000001493021|Grade 8|8|A|
MERGE|Grade|ALTAHRN01|GRADE9|1951/01/01|4712/12/31|300000001493021|Grade 9|9|A|
MERGE|Grade|ALTAHRN01|PROF1|1951/01/01|4712/12/31|300000001493021|Professor Band 1|PROF1|A|
MERGE|Grade|ALTAHRN01|PROF2|1951/01/01|4712/12/31|300000001493021|Professor Band 2|PROF2|A|
MERGE|Grade|ALTAHRN01|PROF3|1951/01/01|4712/12/31|300000001493021|Professor Band 3|PROF3|A|
MERGE|Grade|ALTAHRN01|DPROF|1951/01/01|4712/12/31|300000001493021|Professor Distinguished|DPROF|A|
MERGE|Grade|ALTAHRN01|PROFNB|1951/01/01|4712/12/31|300000001493021|Professor Not Banded|PROFNB|A|
MERGE|Grade|ALTAHRN01|PROFU|1951/01/01|4712/12/31|300000001493021|Professor Unclassified|PROFU|A|

COMMENT  ####
COMMENT  #  GRADE QUESTIONS
COMMENT  #
COMMENT  #  1.  SetId 300000001493021 will need amending at each data load to new UOB set Id
COMMENT  ####


COMMENT  ####
COMMENT  #  GRADESTEP - MINIMAL SUBSET  (FOR HR)
COMMENT  ####
METADATA|GradeStep|SourceSystemOwner|SourceSystemId|EffectiveStartDate|EffectiveEndDate|GradeId(SourceSystemId)|GradeStepName|GradeStepSequence|CeilingStepFlag
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-50|1951/01/01|4217/12/31|10-OPSDIR|50|1|Y
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-51|1951/01/01|4217/12/31|10-OPSDIR|51|2|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-52|1951/01/01|4217/12/31|10-OPSDIR|52|3|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-53|1951/01/01|4217/12/31|10-OPSDIR|53|4|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-54|1951/01/01|4217/12/31|10-OPSDIR|54|5|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-55|1951/01/01|4217/12/31|10-OPSDIR|55|6|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-56|1951/01/01|4217/12/31|10-OPSDIR|56|7|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-57|1951/01/01|4217/12/31|10-OPSDIR|57|8|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-58|1951/01/01|4217/12/31|10-OPSDIR|58|9|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-59|1951/01/01|4217/12/31|10-OPSDIR|59|10|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-60|1951/01/01|4217/12/31|10-OPSDIR|60|11|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-61|1951/01/01|4217/12/31|10-OPSDIR|61|12|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-62|1951/01/01|4217/12/31|10-OPSDIR|62|13|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-63|1951/01/01|4217/12/31|10-OPSDIR|63|14|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-64|1951/01/01|4217/12/31|10-OPSDIR|64|15|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-65|1951/01/01|4217/12/31|10-OPSDIR|65|16|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-66|1951/01/01|4217/12/31|10-OPSDIR|66|17|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-67|1951/01/01|4217/12/31|10-OPSDIR|67|18|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-68|1951/01/01|4217/12/31|10-OPSDIR|68|19|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-69|1951/01/01|4217/12/31|10-OPSDIR|69|20|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-70|1951/01/01|4217/12/31|10-OPSDIR|70|21|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-71|1951/01/01|4217/12/31|10-OPSDIR|71|22|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-72|1951/01/01|4217/12/31|10-OPSDIR|72|23|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-73|1951/01/01|4217/12/31|10-OPSDIR|73|24|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-74|1951/01/01|4217/12/31|10-OPSDIR|74|25|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-75|1951/01/01|4217/12/31|10-OPSDIR|75|26|N
MERGE|GradeStep|ALTAHRN01|10-OPSDIR-76|1951/01/01|4217/12/31|10-OPSDIR|76|27|N
