COMMENT  ####
COMMENT  #  ORGANIZATION - MINIMAL SUBSET  (FOR HR)
COMMENT  ####
MERGE|Organization|SourceSystemOwner|SourceSystemId|EffectiveStartDate|Name|ClassificationCode|LocationId(SourceSystemId)
MERGE|Organization|ALTAHRN01|ACCSERV|01/01/1951|Academic Services                                                                          |DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|ALTABIO|01/01/1951|Alta Bioscience|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|AECHEEP|01/01/1951|Alta Estates and CHEEP                                                                     |DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|APPSERV|01/01/1951|Application Services|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|BIOMED|01/01/1951|Biomedical Services Unit|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|BBS|01/01/1951|Birmingham Business School|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|BIA|01/01/1951|Birmingham International Academy|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|BLS|01/01/1951|Birmingham Law School|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|BSC|01/01/1951|BSC|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|CARNET|01/01/1951|Careers Network                                                                            |DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|CATOP|01/01/1951|Catering Operations|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|CATSUPP|01/01/1951|Catering Support|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|LADLS|01/01/1951|Centre for Learning & Academic Development and Learning Spaces                               |DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|COL_AL|01/01/1951|College of Arts and Law|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|COL_ALHUB|09/11/2016|College of Arts and Law Hub|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|COL_EPS|01/01/1951|College of Engineering and Physical Sciences|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|COL_LES|01/01/1951|College of Life and Environmental Sciences|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|COL_MDS|01/01/1951|College of Medical and Dental Sciences|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|COL_SS|01/01/1951|College of Social Sciences|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|CORPSERV|01/01/1951|Corporate Services|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|ACC|01/01/1951|Department of Accounting|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|EESE|21/02/2017|Department of Electronic  Electrical and Systems Engineering|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|DESSE|01/01/1951|DESSE|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|EMCP|01/01/1951|Estates Managed Capital Projects|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|EPG|01/01/1951|Executive Practice Group                                                                   |DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|FO|01/01/1951|Finance Office|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|FO_ACC|01/01/1951|Finance Office - Accounting|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|FO_PAYPEN|01/01/1951|Finance Office - Payroll and Pensions|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|FO_TM|01/01/1951|Finance Office - Treasury Management|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|HAS|01/01/1951|HAS|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|HOSP_ACC_SERV|01/01/1951|Hospitality and Accommodation Services|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|HR_PERFTRANCHG|01/01/1951|HR Performance  Transformation and Change|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|HR_SERVDEL|01/01/1951|HR Service Delivery|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|HR_STRATPOL|01/01/1951|HR Strategy and Policy|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|HUMRES|01/01/1951|Human Resources|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|INS_ADVSTUD|01/01/1951|Institute of Advanced Studies|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|INS_CVSCI|01/01/1951|Institute of Cardiovascular Sciences|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|INS_CLINSCI|01/01/1951|Institute of Clinical Sciences|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|INS_DENTIST|01/01/1951|Institute of Dentistry|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|INS_INFAGE|01/01/1951|Institute of Inflammation and Ageing|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|INS_PHARM|01/01/1951|Institute of Pharmacy|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|INS_CANGEN|01/01/1951|Institutue of Cancer and Genomics|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|INS_MED|01/01/1951|Institutue of Medicine|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|IRRMAINT|01/01/1951|Irregular Maintenance|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|ITINFRA|01/01/2001|IT Infrastructure|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|ITINFRA_SECPROJ|01/01/1951|IT Infrastructure - secured Projects Set|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|ITPROJ|01/01/1951|IT Projects|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|ITSTRAT|01/01/1951|IT Strategy|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|LIBSERV|01/01/1951|Library Services                                                                           |DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|LIBSERV_ACADEMIC|01/01/1951|Library Services - Academic Liaison  Learning and Research Support and Academic Skills|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|LIBSERV_COLLMGTTDEV|01/01/1951|Library Services - Collection Management and Development                                     |DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|LIBSERV_DIROFF|01/01/1951|Library Services - Directors Office                                                          |DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|LIBSERV_CUSTSUPP|01/01/1951|Library Services - Library Customer Support                                                  |DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|NETMAINT|01/01/1951|Network Maintenance|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|NETREFRESH|31/10/2016|Network Refresh|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|OLD_CHEMENG|01/01/2001|Old School of Chemical Engineering|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|OLD_CHEM|01/01/2001|Old School of Chemistry|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|OLD_CIVENG|01/01/2001|Old School of Civil Engineering|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|OLD_COMPSCI|16/11/2016|Old School of Computer Science|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|OTHERINS|01/01/1951|Other Instututional Areas|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|PROFSERV|01/01/1951|Professional Services|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|REGSEC|01/01/1951|Registrar and Secretary's Office|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|REG|01/01/1951|Registry|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|RES_SEC1|01/01/1951|Research Secured 1|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|RES_SEC2|01/01/1951|Research Secured 2|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|RES_SEC3|01/01/1951|Research Secured 3|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|RES_SEC4|01/01/1951|Research Secured 4|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|SCH_LCAHM|01/01/1951|School of Biosciences|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|SCH_BIOSCI|01/01/1901|School of Chemical Engineering|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|SCH_CHEMENG|01/01/1901|School of Chemistry|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|SCH_CHEM|01/01/1951|School of Civil Engineering|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|SCH_CIVENG|01/01/1901|School of Computer Science|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|SCH_COMPSCI|01/01/1951|School of Dentistry|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|SCH_DENTISTRY|01/01/1951|School of Education|DEPARTMENT|LOC-HR-EDGBASTON
MERGE|Organization|ALTAHRN01|SCH_EDUC|01/01/1951|School of Engineering|DEPARTMENT|LOC-HR-EDGBASTON
