METADATA|Assignment|SourceSystemOwner|SourceSystemId|ActionCode|EffectiveStartDate|EffectiveEndDate|EffectiveSequence|EffectiveLatestChange|WorkTermsAssignmentId(SourceSystemId)|AssignmentName|AssignmentNumber|AssignmentStatusTypeCode|PersonTypeCode|PositionId(SourceSystemId)|BusinessUnitShortCode|LocationCode|JobCode|PrimaryAssignmentFlag
MERGE|Assignment|ALTAHRN01|5500018_EMP_ASG|HIRE|1977/01/01|4712/12/31|1|Y|5500018_EMP_TERM|5500018|5500018|ACTIVE_PROCESS|Employee|131236|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5500165_EMP_ASG|HIRE|2014/10/01|4712/12/31|1|Y|5500165_EMP_TERM|5500165|5500165|ACTIVE_PROCESS|Employee|131237|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5500178_EMP_ASG|HIRE|1994/09/01|4712/12/31|1|Y|5500178_EMP_TERM|5500178|5500178|ACTIVE_PROCESS|Employee|131238|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5500188_EMP_ASG|HIRE|2001/11/05|4712/12/31|1|Y|5500188_EMP_TERM|5500188|5500188|ACTIVE_PROCESS|Employee|131239|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5500215_EMP_ASG|HIRE|1992/07/20|4712/12/31|1|Y|5500215_EMP_TERM|5500215|5500215|ACTIVE_PROCESS|Employee|131240|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5500255_EMP_ASG|HIRE|2016/03/21|4712/12/31|1|Y|5500255_EMP_TERM|5500255|5500255|ACTIVE_PROCESS|Employee|131241|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5500301_EMP_ASG|HIRE|1998/09/01|4712/12/31|1|Y|5500301_EMP_TERM|5500301|5500301|ACTIVE_PROCESS|Employee|131242|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5500316_EMP_ASG|HIRE|1997/04/07|4712/12/31|1|Y|5500316_EMP_TERM|5500316|5500316|ACTIVE_PROCESS|Employee|131243|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5500341_EMP_ASG|HIRE|2013/09/01|4712/12/31|1|Y|5500341_EMP_TERM|5500341|5500341|ACTIVE_PROCESS|Employee|131244|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5500362_EMP_ASG|HIRE|1983/10/01|4712/12/31|1|Y|5500362_EMP_TERM|5500362|5500362|ACTIVE_PROCESS|Employee|131245|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
