METADATA|PersonCitizenship|SourceSystemOwner|SourceSystemId|PersonId(SourceSystemId)|DateFrom|DateTo|LegislationCode|CitizenshipStatus
MERGE|PersonCitizenship|ALTAHRN01|5500018_CITIZEN|5500018|1967/04/30|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500165_CITIZEN|5500165|1971/04/26|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500178_CITIZEN|5500178|1956/02/01|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500188_CITIZEN|5500188|1963/05/31|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500215_CITIZEN|5500215|1953/07/15|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500255_CITIZEN|5500255|1962/04/06|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500301_CITIZEN|5500301|1951/09/20|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500316_CITIZEN|5500316|1954/05/19|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500341_CITIZEN|5500341|1971/03/15|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500362_CITIZEN|5500362|1962/01/07|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500375_CITIZEN|5500375|1970/02/19|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500390_CITIZEN|5500390|1957/01/22|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500400_CITIZEN|5500400|1953/10/14|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500415_CITIZEN|5500415|1957/01/11|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500417_CITIZEN|5500417|1952/02/16|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500436_CITIZEN|5500436|1952/04/15|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500537_CITIZEN|5500537|1971/03/20|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500574_CITIZEN|5500574|1970/08/22|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500583_CITIZEN|5500583|1965/02/01|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500589_CITIZEN|5500589|1969/01/13|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500590_CITIZEN|5500590||4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500619_CITIZEN|5500619|1951/01/15|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500624_CITIZEN|5500624|1957/12/18|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500627_CITIZEN|5500627|1961/05/02|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500628_CITIZEN|5500628|1956/08/04|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500631_CITIZEN|5500631|1956/02/01|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500634_CITIZEN|5500634|1951/07/11|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500646_CITIZEN|5500646|1958/11/22|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502919_CITIZEN|5502919|1972/07/08|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502921_CITIZEN|5502921|1955/10/24|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502951_CITIZEN|5502951|1957/07/20|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502967_CITIZEN|5502967|1953/05/24|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502973_CITIZEN|5502973|1957/01/22|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502986_CITIZEN|5502986|1976/03/10|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503003_CITIZEN|5503003|1948/11/18|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503015_CITIZEN|5503015|1962/04/17|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503042_CITIZEN|5503042|1958/07/22|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503056_CITIZEN|5503056|1957/01/11|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503059_CITIZEN|5503059|1957/01/22|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503066_CITIZEN|5503066|1951/09/20|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500678_CITIZEN|5500678|1960/11/26|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500682_CITIZEN|5500682|1955/10/17|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500684_CITIZEN|5500684|1969/01/13|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500695_CITIZEN|5500695|1971/06/13|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500720_CITIZEN|5500720|1969/05/31|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500737_CITIZEN|5500737|1952/04/15|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500796_CITIZEN|5500796|1956/07/05|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500824_CITIZEN|5500824|1960/10/29|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500827_CITIZEN|5500827|1956/07/05|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500842_CITIZEN|5500842|1955/03/22|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500860_CITIZEN|5500860|1971/08/20|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500865_CITIZEN|5500865|1959/03/18|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500878_CITIZEN|5500878|1969/10/13|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500896_CITIZEN|5500896|1966/01/14|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500901_CITIZEN|5500901|1977/07/01|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500917_CITIZEN|5500917|1981/01/28|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500925_CITIZEN|5500925|1962/08/27|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500939_CITIZEN|5500939|1967/10/26|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500992_CITIZEN|5500992|1957/05/12|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501022_CITIZEN|5501022|1956/07/05|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501082_CITIZEN|5501082|1958/12/14|4712/12/31|GB|A
