METADATA|PersonEthnicity|SourceSystemOwner|SourceSystemId|PersonId(SourceSystemId)|LegislationCode|Ethnicity|PrimaryFlag
MERGE|PersonEthnicity|ALTAHRN01|5500018_ETHNICITY|5500018|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500165_ETHNICITY|5500165|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500178_ETHNICITY|5500178|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500188_ETHNICITY|5500188|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500215_ETHNICITY|5500215|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500255_ETHNICITY|5500255|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500301_ETHNICITY|5500301|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500316_ETHNICITY|5500316|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500341_ETHNICITY|5500341|GB|32|Y
MERGE|PersonEthnicity|ALTAHRN01|5500362_ETHNICITY|5500362|GB|39|Y
MERGE|PersonEthnicity|ALTAHRN01|5500375_ETHNICITY|5500375|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500390_ETHNICITY|5500390|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500400_ETHNICITY|5500400|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500415_ETHNICITY|5500415|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500417_ETHNICITY|5500417|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500436_ETHNICITY|5500436|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500537_ETHNICITY|5500537|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500574_ETHNICITY|5500574|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500583_ETHNICITY|5500583|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500589_ETHNICITY|5500589|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500590_ETHNICITY|5500590|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500619_ETHNICITY|5500619|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500624_ETHNICITY|5500624|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500627_ETHNICITY|5500627|GB|31|Y
MERGE|PersonEthnicity|ALTAHRN01|5500628_ETHNICITY|5500628|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500631_ETHNICITY|5500631|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500634_ETHNICITY|5500634|GB|39|Y
MERGE|PersonEthnicity|ALTAHRN01|5500646_ETHNICITY|5500646|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500678_ETHNICITY|5500678|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500682_ETHNICITY|5500682|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500684_ETHNICITY|5500684|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500695_ETHNICITY|5500695|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500720_ETHNICITY|5500720|GB|31|Y
MERGE|PersonEthnicity|ALTAHRN01|5500737_ETHNICITY|5500737|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500796_ETHNICITY|5500796|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500824_ETHNICITY|5500824|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500827_ETHNICITY|5500827|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500842_ETHNICITY|5500842|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500860_ETHNICITY|5500860|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500865_ETHNICITY|5500865|GB|21|Y
MERGE|PersonEthnicity|ALTAHRN01|5500878_ETHNICITY|5500878|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500896_ETHNICITY|5500896|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500901_ETHNICITY|5500901|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500917_ETHNICITY|5500917|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500925_ETHNICITY|5500925|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500939_ETHNICITY|5500939|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5500992_ETHNICITY|5500992|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501022_ETHNICITY|5501022|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501082_ETHNICITY|5501082|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501084_ETHNICITY|5501084|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501109_ETHNICITY|5501109|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501114_ETHNICITY|5501114|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501185_ETHNICITY|5501185|GB|98|Y
MERGE|PersonEthnicity|ALTAHRN01|5501189_ETHNICITY|5501189|GB|31|Y
MERGE|PersonEthnicity|ALTAHRN01|5501251_ETHNICITY|5501251|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501266_ETHNICITY|5501266|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501316_ETHNICITY|5501316|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501377_ETHNICITY|5501377|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501400_ETHNICITY|5501400|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501403_ETHNICITY|5501403|GB|98|Y
MERGE|PersonEthnicity|ALTAHRN01|5501425_ETHNICITY|5501425|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501749_ETHNICITY|5501749|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501776_ETHNICITY|5501776|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501782_ETHNICITY|5501782|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501808_ETHNICITY|5501808|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501930_ETHNICITY|5501930|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501943_ETHNICITY|5501943|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501963_ETHNICITY|5501963|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5501992_ETHNICITY|5501992|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5502074_ETHNICITY|5502074|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5502141_ETHNICITY|5502141|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5502144_ETHNICITY|5502144|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5502236_ETHNICITY|5502236|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5502509_ETHNICITY|5502509|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5502555_ETHNICITY|5502555|GB|10|Y
MERGE|PersonEthnicity|ALTAHRN01|5502562_ETHNICITY|5502562|GB|10|Y
