METADATA|PersonReligion|SourceSystemOwner|SourceSystemId|PersonId(SourceSystemId)|LegislationCode|Religion|PrimaryFlag
MERGE|PersonReligion|ALTAHRN01|5500018_RELBLF|5500018|GB|14|Y
MERGE|PersonReligion|ALTAHRN01|5500165_RELBLF|5500165|GB|12|Y
MERGE|PersonReligion|ALTAHRN01|5500178_RELBLF|5500178|GB|14|Y
MERGE|PersonReligion|ALTAHRN01|5500188_RELBLF|5500188|GB|03|Y
MERGE|PersonReligion|ALTAHRN01|5500215_RELBLF|5500215|GB|80|Y
MERGE|PersonReligion|ALTAHRN01|5500255_RELBLF|5500255|GB|01|Y
MERGE|PersonReligion|ALTAHRN01|5500301_RELBLF|5500301|GB|02|Y
MERGE|PersonReligion|ALTAHRN01|5500316_RELBLF|5500316|GB|11|Y
MERGE|PersonReligion|ALTAHRN01|5500341_RELBLF|5500341|GB|01|Y
MERGE|PersonReligion|ALTAHRN01|5500362_RELBLF|5500362|GB|14|Y
MERGE|PersonReligion|ALTAHRN01|5500375_RELBLF|5500375|GB|01|Y
MERGE|PersonReligion|ALTAHRN01|5500390_RELBLF|5500390|GB|12|Y
MERGE|PersonReligion|ALTAHRN01|5500400_RELBLF|5500400|GB|13|Y
MERGE|PersonReligion|ALTAHRN01|5500415_RELBLF|5500415|GB|14|Y
MERGE|PersonReligion|ALTAHRN01|5500417_RELBLF|5500417|GB|02|Y
MERGE|PersonReligion|ALTAHRN01|5500436_RELBLF|5500436|GB|80|Y
MERGE|PersonReligion|ALTAHRN01|5500537_RELBLF|5500537|GB|14|Y
MERGE|PersonReligion|ALTAHRN01|5500574_RELBLF|5500574|GB|12|Y
MERGE|PersonReligion|ALTAHRN01|5500583_RELBLF|5500583|GB|14|Y
MERGE|PersonReligion|ALTAHRN01|5500589_RELBLF|5500589|GB|03|Y
MERGE|PersonReligion|ALTAHRN01|5500590_RELBLF|5500590|GB|03|Y
MERGE|PersonReligion|ALTAHRN01|5500619_RELBLF|5500619|GB|14|Y
MERGE|PersonReligion|ALTAHRN01|5500624_RELBLF|5500624|GB|13|Y
MERGE|PersonReligion|ALTAHRN01|5500627_RELBLF|5500627|GB|14|Y
MERGE|PersonReligion|ALTAHRN01|5500628_RELBLF|5500628|GB|01|Y
MERGE|PersonReligion|ALTAHRN01|5500631_RELBLF|5500631|GB|11|Y
MERGE|PersonReligion|ALTAHRN01|5500634_RELBLF|5500634|GB|01|Y
MERGE|PersonReligion|ALTAHRN01|5500646_RELBLF|5500646|GB|02|Y
MERGE|PersonReligion|ALTAHRN01|5500678_RELBLF|5500678|GB|02|Y
MERGE|PersonReligion|ALTAHRN01|5500682_RELBLF|5500682|GB|11|Y
MERGE|PersonReligion|ALTAHRN01|5500684_RELBLF|5500684|GB|98|Y
MERGE|PersonReligion|ALTAHRN01|5500695_RELBLF|5500695|GB|10|Y
MERGE|PersonReligion|ALTAHRN01|5500720_RELBLF|5500720|GB|13|Y
MERGE|PersonReligion|ALTAHRN01|5500737_RELBLF|5500737|GB|98|Y
MERGE|PersonReligion|ALTAHRN01|5500796_RELBLF|5500796|GB|13|Y
MERGE|PersonReligion|ALTAHRN01|5500824_RELBLF|5500824|GB|12|Y
MERGE|PersonReligion|ALTAHRN01|5500827_RELBLF|5500827|GB|02|Y
MERGE|PersonReligion|ALTAHRN01|5500842_RELBLF|5500842|GB|14|Y
MERGE|PersonReligion|ALTAHRN01|5500860_RELBLF|5500860|GB|98|Y
MERGE|PersonReligion|ALTAHRN01|5500865_RELBLF|5500865|GB|01|Y
MERGE|PersonReligion|ALTAHRN01|5500878_RELBLF|5500878|GB|13|Y
MERGE|PersonReligion|ALTAHRN01|5500896_RELBLF|5500896|GB|80|Y
MERGE|PersonReligion|ALTAHRN01|5500901_RELBLF|5500901|GB|01|Y
MERGE|PersonReligion|ALTAHRN01|5500917_RELBLF|5500917|GB|03|Y
MERGE|PersonReligion|ALTAHRN01|5500925_RELBLF|5500925|GB|98|Y
MERGE|PersonReligion|ALTAHRN01|5500939_RELBLF|5500939|GB|14|Y
MERGE|PersonReligion|ALTAHRN01|5500992_RELBLF|5500992|GB|02|Y
MERGE|PersonReligion|ALTAHRN01|5501022_RELBLF|5501022|GB|14|Y
MERGE|PersonReligion|ALTAHRN01|5501082_RELBLF|5501082|GB|11|Y
MERGE|PersonReligion|ALTAHRN01|5501084_RELBLF|5501084|GB|14|Y
MERGE|PersonReligion|ALTAHRN01|5501109_RELBLF|5501109|GB|12|Y
MERGE|PersonReligion|ALTAHRN01|5501114_RELBLF|5501114|GB|02|Y
MERGE|PersonReligion|ALTAHRN01|5501185_RELBLF|5501185|GB|03|Y
MERGE|PersonReligion|ALTAHRN01|5501189_RELBLF|5501189|GB|13|Y
MERGE|PersonReligion|ALTAHRN01|5501251_RELBLF|5501251|GB|10|Y
MERGE|PersonReligion|ALTAHRN01|5501266_RELBLF|5501266|GB|02|Y
MERGE|PersonReligion|ALTAHRN01|5501316_RELBLF|5501316|GB|14|Y
MERGE|PersonReligion|ALTAHRN01|5501377_RELBLF|5501377|GB|03|Y
MERGE|PersonReligion|ALTAHRN01|5501400_RELBLF|5501400|GB|03|Y
MERGE|PersonReligion|ALTAHRN01|5501403_RELBLF|5501403|GB|10|Y
MERGE|PersonReligion|ALTAHRN01|5501425_RELBLF|5501425|GB|13|Y
MERGE|PersonReligion|ALTAHRN01|5501749_RELBLF|5501749|GB|10|Y
MERGE|PersonReligion|ALTAHRN01|5501776_RELBLF|5501776|GB|12|Y
MERGE|PersonReligion|ALTAHRN01|5501782_RELBLF|5501782|GB|12|Y
MERGE|PersonReligion|ALTAHRN01|5501808_RELBLF|5501808|GB|03|Y
MERGE|PersonReligion|ALTAHRN01|5501930_RELBLF|5501930|GB|12|Y
MERGE|PersonReligion|ALTAHRN01|5501943_RELBLF|5501943|GB|98|Y
MERGE|PersonReligion|ALTAHRN01|5501963_RELBLF|5501963|GB|12|Y
MERGE|PersonReligion|ALTAHRN01|5501992_RELBLF|5501992|GB|11|Y
MERGE|PersonReligion|ALTAHRN01|5502074_RELBLF|5502074|GB|10|Y
MERGE|PersonReligion|ALTAHRN01|5502141_RELBLF|5502141|GB|01|Y
MERGE|PersonReligion|ALTAHRN01|5502144_RELBLF|5502144|GB|02|Y
MERGE|PersonReligion|ALTAHRN01|5502236_RELBLF|5502236|GB|02|Y
MERGE|PersonReligion|ALTAHRN01|5502509_RELBLF|5502509|GB|02|Y
MERGE|PersonReligion|ALTAHRN01|5502555_RELBLF|5502555|GB|11|Y
