METADATA|Position|SourceSystemOwner|SourceSystemId|EffectiveStartDate|PositionCode|BusinessUnitName|Name|ActiveStatus|DepartmentId|JobId|LocationId|FullPartTime|RegularTemporary|HiringStatus|PositionType|FTE|HeadCount|WorkingHours|Frequency
MERGE|Position|ALTAHRN01|131236|1951/01/01|131236|UOB Business Unit|HR Business Partner|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131237|1951/01/01|131237|UOB Business Unit|HR Business Partner|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131238|1951/01/01|131238|UOB Business Unit|HR Business Partner|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131239|1951/01/01|131239|UOB Business Unit|HR Business Partner|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131240|1951/01/01|131240|UOB Business Unit|HR Business Partner|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131241|1951/01/01|131241|UOB Business Unit|HR Business Partner|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131242|1951/01/01|131242|UOB Business Unit|HR Business Partner|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131243|1951/01/01|131243|UOB Business Unit|HR Business Partner|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131244|1951/01/01|131244|UOB Business Unit|HR Advisor|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131245|1951/01/01|131245|UOB Business Unit|HR Advisor|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131246|1951/01/01|131246|UOB Business Unit|HR Advisor|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131247|1951/01/01|131247|UOB Business Unit|HR Advisor|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131248|1951/01/01|131248|UOB Business Unit|HR Advisor|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131249|1951/01/01|131249|UOB Business Unit|HR Advisor|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131250|1951/01/01|131250|UOB Business Unit|HR Advisor|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131251|1951/01/01|131251|UOB Business Unit|HR Advisor|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131252|1951/01/01|131252|UOB Business Unit|HR Advisor|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131253|1951/01/01|131253|UOB Business Unit|HR Advisor|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131254|1951/01/01|131254|UOB Business Unit|HR Advisor|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131255|1951/01/01|131255|UOB Business Unit|HR Advisor|A|300000001922212|300000009529162|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
